object,implementation,source_location,verification,pass,observed
T1 wealth coupling  X_{t+1}-X_t = log(1+A(e^r-1)),rollout_states_actions / wealth_engine,base3 code-cell concat line 2934,exact per-step identity and agreement with the frozen wealth engine,True,identity 3.9e-16
T1 third-order expansion coefficients,sympy series of the same expression,derivation only,symbolic coefficient identity plus O(r^4) remainder scaling,True,coefficients identical; remainder ratio ~16
"state map  S_t=(1,t/N,log(W_t/W_0),r_{t-1})",state_features + rollout timing,base3 code-cell concat line 2727,feature-by-feature check and the r_{-1}=0 / lag-update-after-action contract,True,all four features and both conventions verified
truncated-Gaussian density and normalisation,TruncatedGaussian / TruncatedGaussianBatch,base3 code-cell concat line 2216,frozen run_policy_math_tests: logZ/mean/var/entropy/log-prob/scipy/mass,True,worst scalar-batch 5.4e-10
raw-to-policy smooth bounded transform and its Jacobian,policy_from_raw_batch,base3 code-cell concat line 2409,frozen evidence_transform_jacobian: analytic Jacobian vs finite difference,True,max 4.8e-08
policy entropy and its analytic gradient,TruncatedGaussianBatch.entropy / entropy_gradient_batch,base3 code-cell concat line 2509,frozen run_policy_math_tests entropy and entropy-gradient columns,True,rel 8.0e-07
T3 soft return-to-go  G_t = sum_{u>=t} D_u + m sum_{u>t} H_u,soft_return_to_go,base3 code-cell concat line 3221,exact match to the stated formula; H_t dropped because its score is zero,True,err 2.1e-17
critic target and value fit (baseline),fit_linear_critic / critic_values,base3 code-cell concat line 3245,baseline invariance E[psi b(S)|S]=0 and rank/condition reporting,True,max 3.2e-11
T3 score  psi = grad_theta log lambda ; E[psi|S]=0,TruncatedGaussianBatch.score_phi,base3 code-cell concat line 2216,quadrature over the frozen density on frozen test regimes,True,max 2.2e-12
T3 gradient estimator and its sign,actor_gradient (+ frozen actor_estimator_toy_test),base3 code-cell concat line 3435,"frozen toy test against an analytic target, and score vs pathwise reparameterisation gradient of the frozen objective",True,toy z<= 4.0; score-vs-pathwise max|z| 1.59
T3 actor-parameter independence of the market kernel,market batch construction precedes the actor,merton_arm.train_merton_policy / simulate_three_channel_*,byte-identical market block across constructions; no actor argument; seed schedule free of actor state,True,grad_theta log Q_L = 0
T4 occupancy x soft-advantage representation of the gradient,"derivation, verified on an exactly enumerable model",derivation only,brute-force trajectory enumeration vs occupancy/advantage form,True,max gap 6.9e-12
T4 two-channel split and its non-uniqueness,derivation,derivation only,both reference conventions sum to the total exactly; channels disagree,True,occupancy channel differs by 1.5e-04 between conventions
T5 lagged-return covariance channel,derivation + frozen engine source structure,base3 code-cell concat line 978,"Cov(pibar, mu_L) exactly zero under iid, non-zero under the conditional law; frozen engine carries path functionals",True,"channel present under S, provably absent under M"
entropy time scaling  m = lambda * dt,soft_return_to_go vs the continuous-time objective,derivation only,"sum identity, grid invariance and scale separation",True,lambda equivalent of frozen m = 2.5
seed namespaces; no hidden wall-clock seeding,seed_of / rng_of,base3 code-cell concat line 442,source scan for global/temporal seeding; hash-derived generators only,True,forbidden patterns 0
